"Numer zezwolenia","Nazwa firmy","Kod pocztowy",Miejscowość,Adres,Województwo,"Data ważności"
341/23,"FIRMA MICHAŁOWSKI  Spółka z ograniczoną odpowiedzialnością  Spółka komandytowa",62-045,Pniewy,"ul. Lwówecka 15 ","WOJ. WIELKOPOLSKIE",2024-12-31
342/23,"Firma Handlowo-Usługowa ""PAIMAR""  Mariusz Drużba",07-130,Łochów,"ul. Waryńskiego 19","WOJ. MAZOWIECKIE",2024-12-31
343/23,"PRZEDSIĘBIORSTWO WIELOBRANŻOWE    ""BETA""   Spółka z ograniczoną odpowiedzialnością",98-220,"Zduńska Wola","ul. Opiesińska 30 A ","WOJ. ŁÓDZKIE",2025-01-03
344/23,"MALKO  Spółka z ograniczoną odpowiedzialnością",01-699,Warszawa,"ul. Parandowskiego 17 ","WOJ. MAZOWIECKIE",2024-12-31
346/23,"Firma Handlowo-Usługowa ""MARO"" Robert Klimek",89-400,"Sępólno Krajeńskie","ul. Zakładowa 1","WOJ. KUJAWSKO-POMORSKIE",2024-12-13
347/23,"Coca-Cola HBC Polska Spółka z ograniczoną odpowiedzialnością",02-092,Warszawa,"ul. Żwirki i Wigury 16","WOJ. MAZOWIECKIE",2024-12-26
348/23,"Przedsiębiorstwo Handlowo-Produkcyjno-Usługowe  ""WAGROMARKET""   Spółka z ograniczoną odpowiedzialnością",62-800,KALISZ,"NIEDŹWIADY 42 ","WOJ. WIELKOPOLSKIE",2024-12-31
349/23,""" JOTMAR""    Spółka z ograniczoną odpowiedzialnością",64-510,Wronki,"ul. Mickiewicza  26 ","WOJ. WIELKOPOLSKIE",2025-01-03
350/23,"LUBAWY Spółka z ograniczoną odpowiedzialnością",32-590,Libiąż,"ul. Leśna 73","WOJ. MAŁOPOLSKIE",2024-12-10
351/23,"P.H.U. ZACHĘTA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA ",31-941,KRAKÓW,"OSIEDLE KOLOROWE  33","WOJ. MAŁOPOLSKIE",2024-12-10
352/23,"Sławomir Lerch Zarządca Sukcesyjny Przedsiębiorstwa   Handel Detaliczny i Hurtowy, Import-Export,  Krzysztof Lerch  - w spadku",64-400,Międzychód,"ul. Romana Ratajczaka 4","WOJ. WIELKOPOLSKIE",2024-12-14
353/23,"Destylarnia Podkarpacka Spółka z ograniczoną odpowiedzialnością",38-400,Krosno,"ul. Bolesława Prusa 70","WOJ. PODKARPACKIE",2024-12-17
354/23,"Team Spirit Whisky Spółka z ograniczoną odpowiedzialnościa",01-625,Warszawa,"ul. Adama Mickiewicza 37/lok. 58","WOJ. MAZOWIECKIE",2024-12-10
355/23,"""AMBRA""   SPÓŁKA AKCYJNA",02-819,Warszawa,"ul. Puławska 336 ","WOJ. MAZOWIECKIE",2025-01-03
356/23,"REDOX Spółka z ograniczoną odpowiedzialnością ",34-745,Spytkowice,"Spytkowice  427A ","WOJ. MAŁOPOLSKIE",2025-01-03
357/23,"Arkadia Dystrybucja Stanisławczyk Nowakowski Spółka komandytowa",93-569,Łódź,"ul. Inżynierska 1/3","WOJ. ŁÓDZKIE",2025-01-01
358/23,"MV GROUP DISTRIBUTION PL Spółka z ograniczoną odpowiedzialnością",03-236,Warszawa,"ul. Annopol 22","WOJ. MAZOWIECKIE",2024-12-31
359/23,"""BROWN - FORMAN  POLSKA  SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ""",02-676,Warszawa,"ul. Postępu 21 D ","WOJ. MAZOWIECKIE",2024-12-31
360/23,"""VITA""   Spółka z ograniczoną odpowiedzialnością",38-400,Krosno,"ul. Bieszczadzka 54 ","WOJ. PODKARPACKIE",2024-12-31
361/23,"TREND SPIRITS Spółka z ograniczoną odpowiedzialnością",26-600,Radom,"ul. Marii Fołtyn 11","WOJ. MAZOWIECKIE",2024-12-31
362/23,"BOSS   Spółka z ograniczoną odpowiedzialnością",11-600,Węgorzewo,"ul. Przemysłowa 7 A ","WOJ. WARMIŃSKO-MAZURSKIE",2024-12-31
363/23,"ARTEX-HURT Spółka z ograniczoną odpowiedzialnością",06-500,Mława,"ul. Napoleońska 100 ","WOJ. MAZOWIECKIE",2025-01-03
364/23,"Gminna Spółdzielnia  ""SAMOPOMOC CHŁOPSKA""",64-360,Zbąszyń,"ul. Przysiółki  2 ","WOJ. WIELKOPOLSKIE",2025-01-03
365/23,"FLESCH POLSKA Spółka z ograniczoną odpowiedzialnością",05-830,"Nadarzyn, Rusiec","ul. Główna 56","WOJ. MAZOWIECKIE",2024-12-31
366/23,"KMK DYSTRYBUCJA I HANDEL  KRZYSZTOF MROCZEK",09-400,Płock,"ul. Bielska   61 ","WOJ. MAZOWIECKIE",2025-01-03
368/23,"ARMLAND Spółka z ograniczoną odpowiedzialnością",05-077,Warszawa,"ul. Ułańska 5/5","WOJ. MAZOWIECKIE",2024-12-15
369/23,"Semkowicz i Bogoń Spółka z ograniczoną odpowiedzialnością",05-071,Sulejówek,"ul. Starych Dębów 3A","WOJ. MAZOWIECKIE",2025-01-14
370/23,"RUMTEX    Spółka z ograniczoną odpowiedzialnością",43-100,Tychy,"ul. Przemysłowa 74/A","WOJ. ŚLĄSKIE",2024-12-31
